0	6	0
1	0	1
2	1	2
3	2	3
4	3	4
5	4	5
6	5	6
7	7	8
8	8	9
9	9	10
10	10	11
11	11	12
12	12	13
13	13	7
14	20	14
15	14	15
16	15	16
17	16	17
18	17	18
19	18	19
20	19	20
21	21	22
22	22	23
23	23	24
24	24	25
25	25	26
26	26	27
27	27	21
28	28	29
29	29	30
30	30	31
31	31	32
32	32	33
33	33	34
34	34	28
35	35	36
36	36	37
37	37	38
38	38	39
39	39	40
40	40	41
41	41	35
42	42	43
43	43	44
44	44	45
45	45	46
46	46	47
47	47	48
48	48	49
49	50	51
50	51	52
51	52	53
52	53	54
53	54	55
54	55	56
55	56	57
56	58	59
57	59	60
58	60	61
59	61	62
60	62	63
61	63	64
62	64	58
63	66	67
64	67	68
65	68	69
66	69	70
67	70	71
68	71	72
69	72	66
70	28	79
71	82	83
72	85	86
73	88	89
74	89	90
75	90	91
76	91	92
77	92	93
78	93	94
79	94	95
80	29	96
81	96	97
82	97	98
83	98	99
84	99	100
85	100	101
86	101	102
87	102	103
88	103	19
89	105	26
90	108	109
91	109	110
92	110	111
93	111	112
94	112	113
95	113	114
96	114	115
97	115	116
98	116	37
99	30	119
100	119	120
101	120	121
102	121	122
103	122	18
104	118	123
105	123	124
106	124	125
107	125	126
108	126	127
109	127	128
110	128	129
111	129	77
112	30	131
113	131	132
114	132	133
115	133	134
116	134	135
117	17	137
118	138	38
119	139	140
120	140	141
121	141	142
122	142	143
123	143	144
124	144	145
125	146	147
126	148	149
